source,target,class
The Right Man,Dereliction of Duty,red
Dereliction of Duty,The Right Man,red
Ten Minutes from Normal,Losing Bin Laden,red
Losing Bin Laden,Ten Minutes from Normal,red
Ten Minutes from Normal,A National Party No More,red
A National Party No More,Ten Minutes from Normal,red
Ten Minutes from Normal,Bush Country,red
Bush Country,Ten Minutes from Normal,red
Ten Minutes from Normal,Legacy,red
Legacy,Ten Minutes from Normal,red
Hillary's Scheme,Losing Bin Laden,red
Losing Bin Laden,Hillary's Scheme,red
Hillary's Scheme,A National Party No More,red
A National Party No More,Hillary's Scheme,red
Hillary's Scheme,Dereliction of Duty,red
Dereliction of Duty,Hillary's Scheme,red
Hillary's Scheme,Legacy,red
Legacy,Hillary's Scheme,red
The French Betrayal of America,Losing Bin Laden,red
Losing Bin Laden,The French Betrayal of America,red
The French Betrayal of America,Why America Slept,orange
Why America Slept,The French Betrayal of America,orange
The French Betrayal of America,A National Party No More,red
A National Party No More,The French Betrayal of America,red
The French Betrayal of America,Legacy,red
Legacy,The French Betrayal of America,red
Tales from the Left Coast,Losing Bin Laden,red
Losing Bin Laden,Tales from the Left Coast,red
Tales from the Left Coast,A National Party No More,red
A National Party No More,Tales from the Left Coast,red
Tales from the Left Coast,Off with Their Heads,red
Off with Their Heads,Tales from the Left Coast,red
Tales from the Left Coast,Hillary's Scheme,red
Hillary's Scheme,Tales from the Left Coast,red
Hating America,Losing Bin Laden,red
Losing Bin Laden,Hating America,red
Hating America,A National Party No More,red
A National Party No More,Hating America,red
Hating America,Bush Country,red
Bush Country,Hating America,red
Hating America,Off with Their Heads,red
Off with Their Heads,Hating America,red
Hating America,Ten Minutes from Normal,red
Ten Minutes from Normal,Hating America,red
The Third Terrorist,Losing Bin Laden,red
Losing Bin Laden,The Third Terrorist,red
The Third Terrorist,Why America Slept,orange
Why America Slept,The Third Terrorist,orange
The Third Terrorist,Rumsfeld's War,red
Rumsfeld's War,The Third Terrorist,red
The Third Terrorist,The French Betrayal of America,red
The French Betrayal of America,The Third Terrorist,red
Endgame,Losing Bin Laden,red
Losing Bin Laden,Endgame,red
Endgame,A National Party No More,red
A National Party No More,Endgame,red
Endgame,Legacy,red
Legacy,Endgame,red
Endgame,Rumsfeld's War,red
Rumsfeld's War,Endgame,red
Endgame,Hating America,red
Hating America,Endgame,red
Spin Sisters,Losing Bin Laden,red
Losing Bin Laden,Spin Sisters,red
Spin Sisters,A National Party No More,red
A National Party No More,Spin Sisters,red
Spin Sisters,Bush Country,red
Bush Country,Spin Sisters,red
Spin Sisters,Legacy,red
Legacy,Spin Sisters,red
Spin Sisters,Tales from the Left Coast,red
Tales from the Left Coast,Spin Sisters,red
All the Shah's Men,Sleeping With the Devil,yellow
Sleeping With the Devil,All the Shah's Men,yellow
Dangerous Diplomacy,Sleeping With the Devil,orange
Sleeping With the Devil,Dangerous Diplomacy,orange
Dangerous Diplomacy,Why America Slept,orange
Why America Slept,Dangerous Diplomacy,orange
Dangerous Diplomacy,Legacy,red
Legacy,Dangerous Diplomacy,red
Dangerous Diplomacy,Persecution,red
Persecution,Dangerous Diplomacy,red
The Price of Loyalty,Sleeping With the Devil,green
Sleeping With the Devil,The Price of Loyalty,green
The Price of Loyalty,Ghost Wars,green
Ghost Wars,The Price of Loyalty,green
"House of Bush, House of Saud",Sleeping With the Devil,green
Sleeping With the Devil,"House of Bush, House of Saud",green
"House of Bush, House of Saud",The Price of Loyalty,blue
The Price of Loyalty,"House of Bush, House of Saud",blue
The Death of Right and Wrong,A National Party No More,red
A National Party No More,The Death of Right and Wrong,red
The Death of Right and Wrong,Off with Their Heads,red
Off with Their Heads,The Death of Right and Wrong,red
The Death of Right and Wrong,Persecution,red
Persecution,The Death of Right and Wrong,red
The Death of Right and Wrong,Tales from the Left Coast,red
Tales from the Left Coast,The Death of Right and Wrong,red
Useful Idiots,A National Party No More,red
A National Party No More,Useful Idiots,red
Useful Idiots,Dereliction of Duty,red
Dereliction of Duty,Useful Idiots,red
Useful Idiots,Off with Their Heads,red
Off with Their Heads,Useful Idiots,red
Useful Idiots,Tales from the Left Coast,red
Tales from the Left Coast,Useful Idiots,red
Useful Idiots,The Death of Right and Wrong,red
The Death of Right and Wrong,Useful Idiots,red
Let Freedom Ring,A National Party No More,red
A National Party No More,Let Freedom Ring,red
Let Freedom Ring,Dereliction of Duty,red
Dereliction of Duty,Let Freedom Ring,red
Let Freedom Ring,The O'Reilly Factor,red
The O'Reilly Factor,Let Freedom Ring,red
Those Who Trespass,Off with Their Heads,red
Off with Their Heads,Those Who Trespass,red
Those Who Trespass,The O'Reilly Factor,red
The O'Reilly Factor,Those Who Trespass,red
Those Who Trespass,Let Freedom Ring,red
Let Freedom Ring,Those Who Trespass,red
Bias,A National Party No More,red
A National Party No More,Bias,red
Bias,Dereliction of Duty,red
Dereliction of Duty,Bias,red
Bias,Useful Idiots,red
Useful Idiots,Bias,red
Bias,The O'Reilly Factor,red
The O'Reilly Factor,Bias,red
Bias,Let Freedom Ring,red
Let Freedom Ring,Bias,red
Slander,Dereliction of Duty,red
Dereliction of Duty,Slander,red
Slander,Off with Their Heads,red
Off with Their Heads,Slander,red
Slander,Useful Idiots,red
Useful Idiots,Slander,red
Slander,The O'Reilly Factor,red
The O'Reilly Factor,Slander,red
Slander,Let Freedom Ring,red
Let Freedom Ring,Slander,red
Slander,Bias,red
Bias,Slander,red
The Savage Nation,Dereliction of Duty,red
Dereliction of Duty,The Savage Nation,red
The Savage Nation,Off with Their Heads,red
Off with Their Heads,The Savage Nation,red
The Savage Nation,Useful Idiots,red
Useful Idiots,The Savage Nation,red
The Savage Nation,The O'Reilly Factor,red
The O'Reilly Factor,The Savage Nation,red
The Savage Nation,Let Freedom Ring,red
Let Freedom Ring,The Savage Nation,red
The Savage Nation,Slander,red
Slander,The Savage Nation,red
Deliver Us from Evil,A National Party No More,red
A National Party No More,Deliver Us from Evil,red
Deliver Us from Evil,Off with Their Heads,red
Off with Their Heads,Deliver Us from Evil,red
Deliver Us from Evil,Persecution,red
Persecution,Deliver Us from Evil,red
Deliver Us from Evil,Ten Minutes from Normal,red
Ten Minutes from Normal,Deliver Us from Evil,red
Deliver Us from Evil,The French Betrayal of America,red
The French Betrayal of America,Deliver Us from Evil,red
Deliver Us from Evil,Hating America,red
Hating America,Deliver Us from Evil,red
Deliver Us from Evil,The Third Terrorist,red
The Third Terrorist,Deliver Us from Evil,red
Deliver Us from Evil,Endgame,red
Endgame,Deliver Us from Evil,red
Deliver Us from Evil,Spin Sisters,red
Spin Sisters,Deliver Us from Evil,red
Deliver Us from Evil,Let Freedom Ring,red
Let Freedom Ring,Deliver Us from Evil,red
Deliver Us from Evil,The Savage Nation,red
The Savage Nation,Deliver Us from Evil,red
Give Me a Break,A National Party No More,red
A National Party No More,Give Me a Break,red
Give Me a Break,Bush Country,red
Bush Country,Give Me a Break,red
Give Me a Break,Off with Their Heads,red
Off with Their Heads,Give Me a Break,red
Give Me a Break,Spin Sisters,red
Spin Sisters,Give Me a Break,red
Give Me a Break,Those Who Trespass,red
Those Who Trespass,Give Me a Break,red
Give Me a Break,Deliver Us from Evil,red
Deliver Us from Evil,Give Me a Break,red
The Enemy Within,A National Party No More,red
A National Party No More,The Enemy Within,red
The Enemy Within,Persecution,red
Persecution,The Enemy Within,red
The Enemy Within,The Savage Nation,red
The Savage Nation,The Enemy Within,red
The Enemy Within,Deliver Us from Evil,red
Deliver Us from Evil,The Enemy Within,red
The Real America,A National Party No More,red
A National Party No More,The Real America,red
The Real America,Persecution,red
Persecution,The Real America,red
The Real America,Let Freedom Ring,red
Let Freedom Ring,The Real America,red
The Real America,The Enemy Within,red
The Enemy Within,The Real America,red
Who's Looking Out for You?,A National Party No More,red
A National Party No More,Who's Looking Out for You?,red
Who's Looking Out for You?,Off with Their Heads,red
Off with Their Heads,Who's Looking Out for You?,red
Who's Looking Out for You?,Persecution,red
Persecution,Who's Looking Out for You?,red
Who's Looking Out for You?,Let Freedom Ring,red
Let Freedom Ring,Who's Looking Out for You?,red
Who's Looking Out for You?,Deliver Us from Evil,red
Deliver Us from Evil,Who's Looking Out for You?,red
The Official Handbook Vast Right Wing Conspiracy,A National Party No More,red
A National Party No More,The Official Handbook Vast Right Wing Conspiracy,red
The Official Handbook Vast Right Wing Conspiracy,Bush Country,red
Bush Country,The Official Handbook Vast Right Wing Conspiracy,red
The Official Handbook Vast Right Wing Conspiracy,Legacy,red
Legacy,The Official Handbook Vast Right Wing Conspiracy,red
The Official Handbook Vast Right Wing Conspiracy,Endgame,red
Endgame,The Official Handbook Vast Right Wing Conspiracy,red
The Official Handbook Vast Right Wing Conspiracy,Deliver Us from Evil,red
Deliver Us from Evil,The Official Handbook Vast Right Wing Conspiracy,red
Power Plays,A National Party No More,orange
A National Party No More,Power Plays,orange
Power Plays,Off with Their Heads,orange
Off with Their Heads,Power Plays,orange
Arrogance,Bush Country,red
Bush Country,Arrogance,red
Arrogance,Legacy,red
Legacy,Arrogance,red
Arrogance,Off with Their Heads,red
Off with Their Heads,Arrogance,red
Arrogance,Persecution,red
Persecution,Arrogance,red
Arrogance,Shut Up and Sing,red
Shut Up and Sing,Arrogance,red
Arrogance,Tales from the Left Coast,red
Tales from the Left Coast,Arrogance,red
Arrogance,Hating America,red
Hating America,Arrogance,red
Arrogance,Endgame,red
Endgame,Arrogance,red
Arrogance,Spin Sisters,red
Spin Sisters,Arrogance,red
Arrogance,Useful Idiots,red
Useful Idiots,Arrogance,red
Arrogance,Those Who Trespass,red
Those Who Trespass,Arrogance,red
Arrogance,Bias,red
Bias,Arrogance,red
Arrogance,Deliver Us from Evil,red
Deliver Us from Evilh,Arrogance,red
Arrogance,Give Me a Break,red
Give Me a Break,Arrogance,red
Arrogance,The Enemy Within,red
The Enemy Within,Arrogance,red
Arrogance,The Official Handbook Vast Right Wing Conspiracy,red
The Official Handbook Vast Right Wing Conspiracy,Arrogance,red
Arrogance,Power Plays,orange
Power Plays,Arrogance,orange
The Perfect Wife,Bush Country,orange
Bush Country,The Perfect Wife,orange
The Perfect Wife,Ten Minutes from Normal,orange
Ten Minutes from Normal,The Perfect Wife,orange
The Bushes,Bush Country,red
Bush Country,The Bushes,red
The Bushes,Ten Minutes from Normal,red
Ten Minutes from Normal,The Bushes,red
The Bushes,"House of Bush, House of Saud",purple
"House of Bush, House of Saud",The Bushes,purple
The Bushes,The Perfect Wife,orange
The Perfect Wife,The Bushes,orange
Things Worth Fighting For,Bush Country,red
Bush Country,Things Worth Fighting For,red
Things Worth Fighting For,Legacy,red
Legacy,Things Worth Fighting For,red
"Surprise, Security, the American Experience",Bush Country,orange
Bush Country,"Surprise, Security, the American Experience",orange
Allies,Bush Country,red
Bush Country,Allies,red
Allies,The French Betrayal of America,red
The French Betrayal of America,Allies,red
Allies,"Surprise, Security, the American Experience",orange
"Surprise, Security, the American Experience",Allies,orange
Why Courage Matters,Ten Minutes from Normal,red
Ten Minutes from Normal,Why Courage Matters,red
Why Courage Matters,Hating America,red
Hating America,Why Courage Matters,red
Why Courage Matters,Endgame,red
Endgame,Why Courage Matters,red
Why Courage Matters,Deliver Us from Evil,red
Deliver Us from Evil,Why Courage Matters,red
Hollywood Interrupted,Off with Their Heads,red
Off with Their Heads,Hollywood Interrupted,red
Hollywood Interrupted,Tales from the Left Coast,red
Tales from the Left Coast,Hollywood Interrupted,red
Hollywood Interrupted,Spin Sisters,red
Spin Sisters,Hollywood Interrupted,red
Hollywood Interrupted,Deliver Us from Evil,red
Deliver Us from Evil,Hollywood Interrupted,red
Hollywood Interrupted,Give Me a Break,red
Give Me a Break,Hollywood Interrupted,red
Hollywood Interrupted,Arrogance,red
Arrogance,Hollywood Interrupted,red
Fighting Back,Dereliction of Duty,red
Dereliction of Duty,Fighting Back,red
Fighting Back,Off with Their Heads,red
Off with Their Heads,Fighting Back,red
Fighting Back,Breakdown,red
Breakdown,Fighting Back,red
Fighting Back,The Right Man,red
The Right Man,Fighting Back,red
We Will Prevail,Legacy,red
Legacy,We Will Prevail,red
We Will Prevail,The Right Man,red
The Right Man,We Will Prevail,red
We Will Prevail,The Real America,red
The Real America,We Will Prevail,red
The Faith of George W Bush,Persecution,red
Persecution,The Faith of George W Bush,red
The Faith of George W Bush,Ten Minutes from Normal,red
Ten Minutes from Normal,The Faith of George W Bush,red
The Faith of George W Bush,The Perfect Wife,orange
The Perfect Wife,The Faith of George W Bush,orange
The Faith of George W Bush,The Bushes,red
The Bushes,The Faith of George W Bush,red
The Faith of George W Bush,We Will Prevail,red
We Will Prevail,The Faith of George W Bush,red
Rise of the Vulcans,Ghost Wars,orange
Ghost Wars,Rise of the Vulcans,orange
Rise of the Vulcans,Rumsfeld's War,red
Rumsfeld's War,Rise of the Vulcans,red
Rise of the Vulcans,The Price of Loyalty,purple
The Price of Loyalty,Rise of the Vulcans,purple
Rise of the Vulcans,The Bushes,red
The Bushes,Rise of the Vulcans,red
Rise of the Vulcans,Things Worth Fighting For,red
Things Worth Fighting For,Rise of the Vulcans,red
Rise of the Vulcans,"Surprise, Security, the American Experience",orange
"Surprise, Security, the American Experience",Rise of the Vulcans,orange
Rise of the Vulcans,Allies,red
Allies,Rise of the Vulcans,red
Stupid White Men,Downsize This!,blue
Downsize This!,Stupid White Men,blue
Rush Limbaugh Is a Big Fat Idiot,Downsize This!,blue
Downsize This!,Rush Limbaugh Is a Big Fat Idiot,blue
The Best Democracy Money Can Buy,Downsize This!,blue
Downsize This!,The Best Democracy Money Can Buy,blue
The Best Democracy Money Can Buy,Stupid White Men,blue
Stupid White Men,The Best Democracy Money Can Buy,blue
The Culture of Fear,Downsize This!,blue
Downsize This!,The Culture of Fear,blue
The Culture of Fear,Stupid White Men,blue
Stupid White Men,The Culture of Fear,blue
The Culture of Fear,The Best Democracy Money Can Buy,blue
The Best Democracy Money Can Buy,The Culture of Fear,blue
America Unbound,"Surprise, Security, the American Experience",green
"Surprise, Security, the American Experience",America Unbound,green
America Unbound,Allies,purple
Allies,America Unbound,purple
America Unbound,Rise of the Vulcans,purple
Rise of the Vulcans,America Unbound,purple
The Choice,"Surprise, Security, the American Experience",green
"Surprise, Security, the American Experience",The Choice,green
The Choice,Rise of the Vulcans,purple
Rise of the Vulcans,The Choice,purple
The Choice,America Unbound,blue
America Unbound,The Choice,blue
The Great Unraveling,All the Shah's Men,green
All the Shah's Men,The Great Unraveling,green
The Great Unraveling,The Price of Loyalty,blue
The Price of Loyalty,The Great Unraveling,blue
The Great Unraveling,America Unbound,blue
America Unbound,The Great Unraveling,blue
Rogue Nation,The Price of Loyalty,blue
The Price of Loyalty,Rogue Nation,blue
Rogue Nation,America Unbound,blue
America Unbound,Rogue Nation,blue
Rogue Nation,The Choice,blue
The Choice,Rogue Nation,blue
Rogue Nation,The Great Unraveling,blue
The Great Unraveling,Rogue Nation,blue
Soft Power,Rise of the Vulcans,purple
Rise of the Vulcans,Soft Power,purple
Soft Power,America Unbound,blue
America Unbound,Soft Power,blue
Soft Power,The Choice,blue
The Choice,Soft Power,blue
Colossus,"Surprise, Security, the American Experience",yellow
"Surprise, Security, the American Experience",Colossus,yellow
Colossus,Rise of the Vulcans,orange
Rise of the Vulcans,Colossus,orange
Colossus,America Unbound,green
America Unbound,Colossus,green
Colossus,The Choice,green
The Choice,Colossus,green
The Sorrows of Empire,The Price of Loyalty,blue
The Price of Loyalty,The Sorrows of Empire,blue
The Sorrows of Empire,America Unbound,blue
America Unbound,The Sorrows of Empire,blue
The Sorrows of Empire,The Great Unraveling,blue
The Great Unraveling,The Sorrows of Empire,blue
Against All Enemies,Ghost Wars,green
Ghost Wars,Against All Enemies,green
Against All Enemies,Soft Power,blue
Soft Power,Against All Enemies,blue
Against All Enemies,The Sorrows of Empire,blue
The Sorrows of Empire,Against All Enemies,blue
American Dynasty,All the Shah's Men,green
All the Shah's Men,American Dynasty,green
American Dynasty,The Bushes,purple
The Bushes,American Dynasty,purple
American Dynasty,The Great Unraveling,blue
The Great Unraveling,American Dynasty,blue
American Dynasty,The Sorrows of Empire,blue
The Sorrows of Empire,American Dynasty,blue
American Dynasty,Against All Enemies,blue
Against All Enemies,American Dynasty,blue
Big Lies,The Price of Loyalty,blue
The Price of Loyalty,Big Lies,blue
Big Lies,"House of Bush, House of Saud",blue
"House of Bush, House of Saud",Big Lies,blue
Big Lies,The Great Unraveling,blue
The Great Unraveling,Big Lies,blue
Big Lies,Against All Enemies,blue
Against All Enemies,Big Lies,blue
Big Lies,American Dynasty,blue
American Dynasty,Big Lies,blue
The Lies of George W. Bush,The Price of Loyalty,blue
The Price of Loyalty,The Lies of George W. Bush,blue
The Lies of George W. Bush,"House of Bush, House of Saud",blue
"House of Bush, House of Saud",The Lies of George W. Bush,blue
The Lies of George W. Bush,The Great Unraveling,blue
The Great Unraveling,The Lies of George W. Bush,blue
The Lies of George W. Bush,Against All Enemies,blue
Against All Enemies,The Lies of George W. Bush,blue
The Lies of George W. Bush,American Dynasty,blue
American Dynasty,The Lies of George W. Bush,blue
The Lies of George W. Bush,Big Lies,blue
Big Lies,The Lies of George W. Bush,blue
Worse Than Watergate,The Price of Loyalty,blue
The Price of Loyalty,Worse Than Watergate,blue
Worse Than Watergate,"House of Bush, House of Saud",blue
"House of Bush, House of Saud",Worse Than Watergate,blue
Worse Than Watergate,The Sorrows of Empire,blue
The Sorrows of Empire,Worse Than Watergate,blue
Worse Than Watergate,Against All Enemies,blue
Against All Enemies,Worse Than Watergate,blue
Worse Than Watergate,American Dynasty,blue
American Dynasty,Worse Than Watergate,blue
Worse Than Watergate,Big Lies,blue
Big Lies,Worse Than Watergate,blue
Worse Than Watergate,The Lies of George W. Bush,blue
The Lies of George W. Bush,Worse Than Watergate,blue
Plan of Attack,The Price of Loyalty,green
The Price of Loyalty,Plan of Attack,green
Plan of Attack,"House of Bush, House of Saud",green
"House of Bush, House of Saud",Plan of Attack,green
Plan of Attack,The Bushes,orange
The Bushes,Plan of Attack,orange
Plan of Attack,Why Courage Matters,orange
Why Courage Matters,Plan of Attack,orange
Plan of Attack,The Great Unraveling,green
The Great Unraveling,Plan of Attack,green
Plan of Attack,Against All Enemies,green
Against All Enemies,Plan of Attack,green
Plan of Attack,American Dynasty,green
American Dynasty,Plan of Attack,green
Plan of Attack,Worse Than Watergate,green
Worse Than Watergate,Plan of Attack,green
Bush at War,The Right Man,red
The Right Man,Bush at War,red
Bush at War,The Price of Loyalty,purple
The Price of Loyalty,Bush at War,purple
Bush at War,"House of Bush, House of Saud",purple
"House of Bush, House of Saud",Bush at War,purple
Bush at War,Rise of the Vulcans,red
Rise of the Vulcans,Bush at War,red
Bush at War,Against All Enemies,purple
Against All Enemies,Bush at War,purple
Bush at War,Worse Than Watergate,purple
Worse Than Watergate,Bush at War,purple
Bush at War,Plan of Attack,orange
Plan of Attack,Bush at War,orange
The New Pearl Harbor,"House of Bush, House of Saud",blue
"House of Bush, House of Saud",The New Pearl Harbor,blue
The New Pearl Harbor,Against All Enemies,blue
Against All Enemies,The New Pearl Harbor,blue
The New Pearl Harbor,American Dynasty,blue
American Dynasty,The New Pearl Harbor,blue
The New Pearl Harbor,The Lies of George W. Bush,blue
The Lies of George W. Bush,The New Pearl Harbor,blue
The New Pearl Harbor,Worse Than Watergate,blue
Worse Than Watergate,The New Pearl Harbor,blue
Bush women,The Price of Loyalty,blue
The Price of Loyalty,Bush women,blue
Bush women,Against All Enemies,blue
Against All Enemies,Bush women,blue
Bush women,American Dynasty,blue
American Dynasty,Bush women,blue
Bush women,The Lies of George W. Bush,blue
The Lies of George W. Bush,Bush women,blue
Bush women,Worse Than Watergate,blue
Worse Than Watergate,Bush women,blue
The Bubble of American Supremacy,The Price of Loyalty,blue
The Price of Loyalty,The Bubble of American Supremacy,blue
The Bubble of American Supremacy,The Great Unraveling,blue
The Great Unraveling,The Bubble of American Supremacy,blue
The Bubble of American Supremacy,Against All Enemies,blue
Against All Enemies,The Bubble of American Supremacy,blue
The Bubble of American Supremacy,American Dynasty,blue
American Dynasty,The Bubble of American Supremacy,blue
Living History,Against All Enemies,blue
Against All Enemies,Living History,blue
The Politics of Truth,The Price of Loyalty,blue
The Price of Loyalty,The Politics of Truth,blue
The Politics of Truth,"House of Bush, House of Saud",blue
"House of Bush, House of Saud",The Politics of Truth,blue
The Politics of Truth,Against All Enemies,blue
Against All Enemies,The Politics of Truth,blue
The Politics of Truth,American Dynasty,blue
American Dynasty,The Politics of Truth,blue
The Politics of Truth,Big Lies,blue
Big Lies,The Politics of Truth,blue
The Politics of Truth,The Lies of George W. Bush,blue
The Lies of George W. Bush,The Politics of Truth,blue
The Politics of Truth,Worse Than Watergate,blue
Worse Than Watergate,The Politics of Truth,blue
The Politics of Truth,Plan of Attack,green
Plan of Attack,The Politics of Truth,green
Fanatics and Fools,The Price of Loyalty,blue
The Price of Loyalty,Fanatics and Fools,blue
Fanatics and Fools,Against All Enemies,blue
Against All Enemies,Fanatics and Fools,blue
Fanatics and Fools,Big Lies,blue
Big Lies,Fanatics and Fools,blue
Fanatics and Fools,Worse Than Watergate,blue
Worse Than Watergate,Fanatics and Fools,blue
Fanatics and Fools,Plan of Attack,green
Plan of Attack,Fanatics and Fools,green
Bushwhacked,The Price of Loyalty,blue
The Price of Loyalty,Bushwhacked,blue
Bushwhacked,Stupid White Men,blue
Stupid White Men,Bushwhacked,blue
Bushwhacked,The Best Democracy Money Can Buy,blue
The Best Democracy Money Can Buy,Bushwhacked,blue
Bushwhacked,The Great Unraveling,blue
The Great Unraveling,Bushwhacked,blue
Bushwhacked,American Dynasty,blue
American Dynasty,Bushwhacked,blue
Bushwhacked,Big Lies,blue
Big Lies,Bushwhacked,blue
Bushwhacked,The Lies of George W. Bush,blue
The Lies of George W. Bush,Bushwhacked,blue
Bushwhacked,Worse Than Watergate,blue
Worse Than Watergate,Bushwhacked,blue
Bushwhacked,Plan of Attack,green
Plan of Attack,Bushwhacked,green
Bushwhacked,Bush women,blue
Bush women,Bushwhacked,blue
Bushwhacked,Living History,blue
Living History,Bushwhacked,blue
Bushwhacked,The Politics of Truth,blue
The Politics of Truth,Bushwhacked,blue
Bushwhacked,Fanatics and Fools,blue
Fanatics and Fools,Bushwhacked,blue
Disarming Iraq,Ghost Wars,green
Ghost Wars,Disarming Iraq,green
Disarming Iraq,Rise of the Vulcans,purple
Rise of the Vulcans,Disarming Iraq,purple
Disarming Iraq,The Choice,blue
The Choice,Disarming Iraq,blue
Disarming Iraq,The Great Unraveling,blue
The Great Unraveling,Disarming Iraq,blue
Disarming Iraq,American Dynasty,blue
American Dynasty,Disarming Iraq,blue
Lies and the Lying Liars Who Tell Them,The Price of Loyalty,blue
The Price of Loyalty,Lies and the Lying Liars Who Tell Them,blue
Lies and the Lying Liars Who Tell Them,Stupid White Men,blue
Stupid White Men,Lies and the Lying Liars Who Tell Them,blue
Lies and the Lying Liars Who Tell Them,Rush Limbaugh Is a Big Fat Idiot,blue
Rush Limbaugh Is a Big Fat Idiot,Lies and the Lying Liars Who Tell Them,blue
Lies and the Lying Liars Who Tell Them,The Great Unraveling,blue
The Great Unraveling,Lies and the Lying Liars Who Tell Them,blue
Lies and the Lying Liars Who Tell Them,American Dynasty,blue
American Dynasty,Lies and the Lying Liars Who Tell Them,blue
